Time,Heart Rate,SV,output
0:00:00,59,77,4543
0:01:00,57,,4389
0:02:00,55,,4235
0:03:00,58,,4466
0:04:00,64,,4928
0:05:00,69,,5313
0:06:00,62,,4774
0:07:00,60,,4620
0:08:00,61,,4697
0:09:00,60,,4620
0:10:00,63,,4851
0:11:00,71,,5467
0:12:00,54,,4158
0:13:00,56,,4312
0:14:00,57,,4389
0:15:00,62,,4774
0:16:00,57,,4389
0:17:00,59,,4543
0:18:00,59,,4543
0:19:00,58,,4466
0:20:00,54,,4158
0:21:00,55,,4235
0:22:00,54,,4158
0:23:00,54,,4158
0:24:00,54,,4158
0:25:00,53,,4081
0:26:00,55,,4235
0:27:00,59,,4543
0:28:00,56,,4312
0:29:00,54,,4158
0:30:00,54,,4158
0:31:00,53,,4081
0:32:00,53,,4081
0:33:00,55,,4235
0:34:00,54,,4158
0:35:00,54,,4158
0:36:00,52,,4004
0:37:00,54,,4158
0:38:00,55,,4235
0:39:00,55,,4235
0:40:00,54,,4158
0:41:00,52,,4004
0:42:00,53,,4081
0:43:00,55,,4235
0:44:00,54,,4158
0:45:00,54,,4158
0:46:00,53,,4081
0:47:00,53,,4081
0:48:00,53,,4081
0:49:00,54,,4158
0:50:00,53,,4081
0:51:00,52,,4004
0:52:00,53,,4081
0:53:00,53,,4081
0:54:00,53,,4081
0:55:00,53,,4081
0:56:00,54,,4158
0:57:00,53,,4081
0:58:00,53,,4081
0:59:00,53,,4081
1:00:00,54,,4158
1:01:00,54,,4158
1:02:00,53,,4081
1:03:00,57,,4389
1:04:00,53,,4081
1:05:00,52,,4004
1:06:00,54,,4158
1:07:00,53,,4081
1:08:00,52,,4004
1:09:00,51,,3927
1:10:00,51,,3927
1:11:00,51,,3927
1:12:00,51,,3927
1:13:00,50,,3850
1:14:00,49,,3773
1:15:00,51,,3927
1:16:00,49,,3773
1:17:00,50,,3850
1:18:00,49,,3773
1:19:00,50,,3850
1:20:00,50,,3850
1:21:00,50,,3850
1:22:00,49,,3773
1:23:00,50,,3850
1:24:00,50,,3850
1:25:00,49,,3773
1:26:00,49,,3773
1:27:00,49,,3773
1:28:00,50,,3850
1:29:00,51,,3927
1:30:00,50,,3850
1:31:00,50,,3850
1:32:00,52,,4004
1:33:00,50,,3850
1:34:00,53,,4081
1:35:00,50,,3850
1:36:00,50,,3850
1:37:00,50,,3850
1:38:00,51,,3927
1:39:00,49,,3773
1:40:00,51,,3927
1:41:00,51,,3927
1:42:00,51,,3927
1:43:00,51,,3927
1:44:00,50,,3850
1:45:00,51,,3927
1:46:00,51,,3927
1:47:00,51,,3927
1:48:00,51,,3927
1:49:00,51,,3927
1:50:00,51,,3927
1:51:00,52,,4004
1:52:00,50,,3850
1:53:00,51,,3927
1:54:00,51,,3927
1:55:00,51,,3927
1:56:00,52,,4004
1:57:00,52,,4004
1:58:00,54,,4158
1:59:00,55,,4235
2:00:00,51,,3927
2:01:00,51,,3927
2:02:00,51,,3927
2:03:00,55,,4235
2:04:00,51,,3927
2:05:00,49,,3773
2:06:00,51,,3927
2:07:00,51,,3927
2:08:00,52,,4004
2:09:00,53,,4081
2:10:00,56,,4312
2:11:00,52,,4004
2:12:00,57,,4389
2:13:00,52,,4004
2:14:00,52,,4004
2:15:00,55,,4235
2:16:00,52,,4004
2:17:00,50,,3850
2:18:00,50,,3850
2:19:00,52,,4004
2:20:00,50,,3850
2:21:00,49,,3773
2:22:00,54,,4158
2:23:00,50,,3850
2:24:00,50,,3850
2:25:00,53,,4081
2:26:00,50,,3850
2:27:00,50,,3850
2:28:00,49,,3773
2:29:00,48,,3696
2:30:00,50,,3850
2:31:00,49,,3773
2:32:00,50,,3850
2:33:00,49,,3773
2:34:00,49,,3773
2:35:00,50,,3850
2:36:00,50,,3850
2:37:00,49,,3773
2:38:00,49,,3773
2:39:00,49,,3773
2:40:00,50,,3850
2:41:00,50,,3850
2:42:00,50,,3850
2:43:00,50,,3850
2:44:00,50,,3850
2:45:00,50,,3850
2:46:00,50,,3850
2:47:00,50,,3850
2:48:00,49,,3773
2:49:00,50,,3850
2:50:00,49,,3773
2:51:00,50,,3850
2:52:00,51,,3927
2:53:00,50,,3850
2:54:00,49,,3773
2:55:00,49,,3773
2:56:00,51,,3927
2:57:00,50,,3850
2:58:00,50,,3850
2:59:00,49,,3773
3:00:00,60,,4620
3:01:00,58,,4466
3:02:00,48,,3696
3:03:00,51,,3927
3:04:00,49,,3773
3:05:00,52,,4004
3:06:00,49,,3773
3:07:00,48,,3696
3:08:00,54,,4158
3:09:00,50,,3850
3:10:00,50,,3850
3:11:00,49,,3773
3:12:00,48,,3696
3:13:00,48,,3696
3:14:00,52,,4004
3:15:00,54,,4158
3:16:00,50,,3850
3:17:00,52,,4004
3:18:00,51,,3927
3:19:00,48,,3696
3:20:00,49,,3773
3:21:00,48,,3696
3:22:00,48,,3696
3:23:00,50,,3850
3:24:00,49,,3773
3:25:00,50,,3850
3:26:00,51,,3927
3:27:00,50,,3850
3:28:00,51,,3927
3:29:00,51,,3927
3:30:00,51,,3927
3:31:00,49,,3773
3:32:00,49,,3773
3:33:00,49,,3773
3:34:00,48,,3696
3:35:00,51,,3927
3:36:00,51,,3927
3:37:00,52,,4004
3:38:00,48,,3696
3:39:00,49,,3773
3:40:00,53,,4081
3:41:00,47,,3619
3:42:00,52,,4004
3:43:00,54,,4158
3:44:00,50,,3850
3:45:00,52,,4004
3:46:00,57,,4389
3:47:00,52,,4004
3:48:00,54,,4158
3:49:00,58,,4466
3:50:00,50,,3850
3:51:00,50,,3850
3:52:00,50,,3850
3:53:00,49,,3773
3:54:00,49,,3773
3:55:00,49,,3773
3:56:00,48,,3696
3:57:00,47,,3619
3:58:00,50,,3850
3:59:00,56,,4312
4:00:00,50,,3850
4:01:00,48,,3696
4:02:00,48,,3696
4:03:00,50,,3850
4:04:00,48,,3696
4:05:00,47,,3619
4:06:00,48,,3696
4:07:00,47,,3619
4:08:00,47,,3619
4:09:00,48,,3696
4:10:00,48,,3696
4:11:00,47,,3619
4:12:00,50,,3850
4:13:00,48,,3696
4:14:00,49,,3773
4:15:00,48,,3696
4:16:00,48,,3696
4:17:00,54,,4158
4:18:00,48,,3696
4:19:00,48,,3696
4:20:00,47,,3619
4:21:00,47,,3619
4:22:00,47,,3619
4:23:00,47,,3619
4:24:00,48,,3696
4:25:00,48,,3696
4:26:00,48,,3696
4:27:00,48,,3696
4:28:00,49,,3773
4:29:00,48,,3696
4:30:00,49,,3773
4:31:00,49,,3773
4:32:00,48,,3696
4:33:00,57,,4389
4:34:00,51,,3927
4:35:00,50,,3850
4:36:00,48,,3696
4:37:00,47,,3619
4:38:00,55,,4235
4:39:00,52,,4004
4:40:00,49,,3773
4:41:00,48,,3696
4:42:00,47,,3619
4:43:00,49,,3773
4:44:00,49,,3773
4:45:00,49,,3773
4:46:00,49,,3773
4:47:00,49,,3773
4:48:00,49,,3773
4:49:00,50,,3850
4:50:00,50,,3850
4:51:00,49,,3773
4:52:00,49,,3773
4:53:00,48,,3696
4:54:00,68,,5236
4:55:00,52,,4004
4:56:00,55,,4235
4:57:00,49,,3773
4:58:00,47,,3619
4:59:00,48,,3696
5:00:00,48,,3696
5:01:00,49,,3773
5:02:00,48,,3696
5:03:00,49,,3773
5:04:00,49,,3773
5:05:00,49,,3773
5:06:00,48,,3696
5:07:00,56,,4312
5:08:00,52,,4004
5:09:00,48,,3696
5:10:00,48,,3696
5:11:00,48,,3696
5:12:00,47,,3619
5:13:00,48,,3696
5:14:00,48,,3696
5:15:00,49,,3773
5:16:00,48,,3696
5:17:00,49,,3773
5:18:00,47,,3619
5:19:00,48,,3696
5:20:00,50,,3850
5:21:00,48,,3696
5:22:00,48,,3696
5:23:00,49,,3773
5:24:00,49,,3773
5:25:00,50,,3850
5:26:00,51,,3927
5:27:00,54,,4158
5:28:00,56,,4312
5:29:00,47,,3619
5:30:00,47,,3619
5:31:00,46,,3542
5:32:00,50,,3850
5:33:00,47,,3619
5:34:00,48,,3696
5:35:00,56,,4312
5:36:00,48,,3696
5:37:00,50,,3850
5:38:00,51,,3927
5:39:00,49,,3773
5:40:00,50,,3850
5:41:00,49,,3773
5:42:00,48,,3696
5:43:00,51,,3927
5:44:00,47,,3619
5:45:00,51,,3927
5:46:00,52,,4004
5:47:00,52,,4004
5:48:00,51,,3927
5:49:00,51,,3927
5:50:00,51,,3927
5:51:00,51,,3927
5:52:00,50,,3850
5:53:00,50,,3850
5:54:00,51,,3927
5:55:00,48,,3696
5:56:00,50,,3850
5:57:00,49,,3773
5:58:00,48,,3696
5:59:00,47,,3619
6:00:00,51,,3927
6:01:00,51,,3927
6:02:00,49,,3773
6:03:00,47,,3619
6:04:00,46,,3542
6:05:00,49,,3773
6:06:00,49,,3773
6:07:00,48,,3696
6:08:00,47,,3619
6:09:00,58,,4466
6:10:00,51,,3927
6:11:00,51,,3927
6:12:00,54,,4158
6:13:00,51,,3927
6:14:00,49,,3773
6:15:00,49,,3773
6:16:00,48,,3696
6:17:00,47,,3619
6:18:00,49,,3773
6:19:00,52,,4004
6:20:00,50,,3850
6:21:00,51,,3927
6:22:00,49,,3773
6:23:00,48,,3696
6:24:00,48,,3696
6:25:00,50,,3850
6:26:00,48,,3696
6:27:00,47,,3619
6:28:00,47,,3619
6:29:00,51,,3927
6:30:00,48,,3696
6:31:00,48,,3696
6:32:00,49,,3773
6:33:00,54,,4158
6:34:00,50,,3850
6:35:00,48,,3696
6:36:00,47,,3619
6:37:00,48,,3696
6:38:00,48,,3696
6:39:00,49,,3773
6:40:00,49,,3773
6:41:00,50,,3850
6:42:00,49,,3773
6:43:00,49,,3773
6:44:00,49,,3773
6:45:00,48,,3696
6:46:00,48,,3696
6:47:00,48,,3696
6:48:00,49,,3773
6:49:00,49,,3773
6:50:00,48,,3696
6:51:00,49,,3773
6:52:00,48,,3696
6:53:00,49,,3773
6:54:00,49,,3773
6:55:00,49,,3773
6:56:00,49,,3773
6:57:00,50,,3850
6:58:00,50,,3850
6:59:00,50,,3850
7:00:00,68,,5236
7:01:00,52,,4004
7:02:00,61,,4697
7:03:00,48,,3696
7:04:00,47,,3619
7:05:00,46,,3542
7:06:00,46,,3542
7:07:00,45,,3465
7:08:00,54,,4158
7:09:00,48,,3696
7:10:00,46,,3542
7:11:00,48,,3696
7:12:00,48,,3696
7:13:00,48,,3696
7:14:00,48,,3696
7:15:00,48,,3696
7:16:00,48,,3696
7:17:00,48,,3696
7:18:00,49,,3773
7:19:00,49,,3773
7:20:00,48,,3696
7:21:00,50,,3850
7:22:00,57,,4389
7:23:00,49,,3773
7:24:00,46,,3542
7:25:00,48,,3696
7:26:00,44,,3388
7:27:00,46,,3542
7:28:00,45,,3465
7:29:00,44,,3388
7:30:00,45,,3465
7:31:00,46,,3542
7:32:00,46,,3542
7:33:00,46,,3542
7:34:00,47,,3619
7:35:00,48,,3696
7:36:00,54,,4158
7:37:00,48,,3696
7:38:00,46,,3542
7:39:00,44,,3388
7:40:00,45,,3465
7:41:00,45,,3465
7:42:00,45,,3465
7:43:00,47,,3619
7:44:00,44,,3388
7:45:00,51,,3927
7:46:00,45,,3465
7:47:00,51,,3927
7:48:00,50,,3850
7:49:00,50,,3850
